Date,day,tweet_count_islam,tweet_count_blm,tweet_count_all
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
